name	label	description	entity	dataType	idAttribute	labelAttribute	visible	nillable	refEntity
individualconsentidentifier	Individual consent identifier	A unique proper name or character sequence that identifies this particular signed individual consent. (ICO:0000044)	individualconsent	string	TRUE	TRUE	TRUE	FALSE	
personconsenting	Person consenting	Reference to the person (i.e. subject) to whom this individual consent applies. (IAO:0000136)	individualconsent	xref	FALSE	FALSE	TRUE	TRUE	fair-genomes_personal
consentformused	Consent form used	Reference to the informed consent form that was signed. Points to a particular instance of leaflet and consent form that usually exists as a record (i.e. a row) within the same database as this individual consent. (IAO:0000136)	individualconsent	xref	FALSE	FALSE	TRUE	TRUE	fair-genomes_leafletandconsentform
collectedby	Collected by	Indicates the institute who performed the collection act. (NCIT:C45262)	individualconsent	xref	FALSE	FALSE	TRUE	TRUE	fair-genomes_individualconsent_collectedby
signingdate	Signing date	A date specification that designates when this individual consent form was signed. (ICO:0000036)	individualconsent	date	FALSE	FALSE	TRUE	TRUE	
validfrom	Valid from	Starting date of the validity of this individual consent. (DC:valid)	individualconsent	date	FALSE	FALSE	TRUE	TRUE	
validuntil	Valid until	End date of the validity of this individual consent. (DC:valid)	individualconsent	date	FALSE	FALSE	TRUE	TRUE	
representedby	Represented by	An individual who is authorized under applicable State or local law to consent on behalf of a child or incapable person to general medical care including participation in clinical research. (NCIT:C142600)	individualconsent	xref	FALSE	FALSE	TRUE	TRUE	fair-genomes_individualconsent_representedby
datausepermissions	Data use permissions	A data item that is used to indicate consent permissions for datasets and/or materials, and relates to the purposes for which datasets and/or material might be used. (DUO:0000001)	individualconsent	xref	FALSE	FALSE	TRUE	TRUE	fair-genomes_individualconsent_datausepermissions
datausemodifiers	Data use modifiers	Data use modifiers indicate additional conditions for use. For instance, a dataset is restricted to investigations into specific diseases or performed at specific geographical locations. (DUO:0000017)	individualconsent	mref	FALSE	FALSE	TRUE	TRUE	fair-genomes_individualconsent_datausemodifiers
datausespecification	Data use specification	Further specification of applied data use permissions and modifiers. For example, a list of countries in case of geographic restrictions or a list of diseases when restricted to disease-specific research. (SIO:000090)	individualconsent	text	FALSE	FALSE	TRUE	TRUE	
allowrecontacting	Allow recontacting	The procedure of recontacting the patient for specified reasons. This means the patient agrees to be re-identifiable under those circumstances. (NCIT:C25737)	individualconsent	mref	FALSE	FALSE	TRUE	TRUE	fair-genomes_individualconsent_allowrecontacting
